t,u,y
0.00000000,1.44941461,302.14288330
0.02000000,1.44941461,282.85714722
0.04000000,1.44941461,250.71430969
0.06000000,1.44941461,225.00003052
0.08000000,1.44941461,212.14288330
0.10000000,1.44941461,205.71429443
0.12000000,1.44941461,199.28572083
0.14000000,1.44941461,199.28572083
0.16000000,1.44941461,205.71429443
0.18000000,1.44941461,199.28572083
0.20000000,1.44941461,199.28572083
0.22000000,1.44941461,199.28572083
0.24000000,1.44941461,199.28572083
0.26000000,1.44941461,199.28572083
0.28000000,1.44941461,199.28572083
0.30000000,1.44941461,199.28572083
0.32000000,1.44941461,199.28572083
0.34000000,1.44941461,192.85716248
0.36000000,1.44941461,205.71429443
0.38000000,1.44941461,192.85716248
0.40000000,1.44941461,205.71429443
0.42000000,1.44941461,192.85716248
0.44000000,1.44941461,199.28572083
0.46000000,1.44941461,199.28572083
0.48000000,1.44941461,199.28572083
0.50000000,1.44941461,199.28572083
0.52000000,1.44941461,199.28572083
0.54000000,1.44941461,199.28572083
0.56000000,1.44941461,199.28572083
0.58000000,1.44941461,199.28572083
0.60000000,1.44941461,199.28572083
0.62000000,1.44941461,199.28572083
0.64000000,1.44941461,199.28572083
0.66000000,1.44941461,199.28572083
0.68000000,1.44941461,199.28572083
0.70000000,1.44941461,199.28572083
0.72000000,1.44941461,199.28572083
0.74000000,1.44941461,199.28572083
0.76000000,1.44941461,199.28572083
0.78000000,1.44941461,199.28572083
0.80000000,1.44941461,199.28572083
0.82000000,1.44941461,199.28572083
0.84000000,1.44941461,199.28572083
0.86000000,1.44941461,199.28572083
0.88000000,1.44941461,199.28572083
0.90000000,1.44941461,199.28572083
0.92000000,1.44941461,199.28572083
0.94000000,1.44941461,199.28572083
0.96000000,1.44941461,192.85716248
0.98000000,1.44941461,205.71429443
1.00000000,1.44941461,192.85716248
1.02000000,1.44941461,205.71429443
1.04000000,1.44941461,192.85716248
1.06000000,1.44941461,199.28572083
1.08000000,1.44941461,199.28572083
1.10000000,1.44941461,199.28572083
1.12000000,1.44941461,199.28572083
1.14000000,1.44941461,199.28572083
1.16000000,1.44941461,199.28572083
1.18000000,1.44941461,199.28572083
1.20000000,1.44941461,199.28572083
1.22000000,1.44941461,199.28572083
1.24000000,1.44941461,199.28572083
1.26000000,1.44941461,199.28572083
1.28000000,1.44941461,199.28572083
1.30000000,1.44941461,199.28572083
1.32000000,1.44941461,199.28572083
1.34000000,1.44941461,199.28572083
1.36000000,1.44941461,199.28572083
1.38000000,1.44941461,199.28572083
1.40000000,1.44941461,199.28572083
1.42000000,1.44941461,199.28572083
1.44000000,1.44941461,199.28572083
1.46000000,1.44941461,199.28572083
1.48000000,1.44941461,199.28572083
1.50000000,1.44941461,199.28572083
1.52000000,1.44941461,199.28572083
1.54000000,1.44941461,192.85716248
1.56000000,1.44941461,205.71429443
1.58000000,1.44941461,192.85716248
1.60000000,2.69757175,199.28572083
1.62000000,2.69757175,231.42857361
1.64000000,2.69757175,295.71432495
1.66000000,2.69757175,340.71432495
1.68000000,2.69757175,366.42858887
1.70000000,2.69757175,372.85717773
1.72000000,2.69757175,392.14288330
