t,r,y,u
0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,1.79999995,0.00000000,0.00000000
0.04000000,3.59999990,0.00000000,0.26757196
0.06000000,5.40000010,0.00000000,0.32322019
0.08000000,7.19999981,0.00000000,0.39100641
0.10000000,9.00000000,0.38571429,0.45665085
0.12000000,10.80000019,1.02857149,0.51215893
0.14000000,12.60000038,1.80000007,0.55946332
0.16000000,14.39999962,2.82857156,0.60110271
0.18000000,16.20000076,3.98571444,0.63318795
0.20000000,18.00000000,5.27142906,0.66041148
0.22000000,19.79999924,6.68571472,0.68194383
0.24000000,21.60000038,8.10000038,0.69862801
0.26000000,23.39999962,9.64285755,0.71442062
0.28000000,25.20000076,11.31428623,0.72523665
0.30000000,27.00000191,12.98571491,0.73191774
0.32000000,28.79999924,14.52857208,0.73783559
0.34000000,30.60000038,16.32857323,0.74711609
0.36000000,32.40000153,18.00000191,0.74791783
0.38000000,34.20000076,19.80000114,0.75369042
0.40000000,36.00000000,21.47142982,0.75370377
0.42000000,37.79999924,23.27142906,0.75884628
0.44000000,39.59999847,25.07143021,0.75871801
0.46000000,41.40000153,26.87142944,0.75964165
0.48000000,43.20000076,28.67143059,0.75961876
0.50000000,45.00000000,30.47142982,0.75978464
0.52000000,46.79999924,32.27143097,0.75978053
0.54000000,48.60000229,33.94285965,0.75981027
0.56000000,50.40000153,35.74285889,0.76391518
0.58000000,52.19999695,37.54285812,0.76378983
0.60000000,54.00000381,39.34286118,0.76452702
0.62000000,55.79999924,41.14286041,0.76450479
0.64000000,57.59999847,42.94285965,0.76463705
0.66000000,59.40000153,44.74285889,0.76463300
0.68000000,61.20000076,46.54285812,0.76465696
0.70000000,63.00000000,48.34286118,0.76465625
0.72000000,64.80000305,50.14286041,0.76466042
0.74000000,66.59999847,51.94285965,0.76466036
0.76000000,68.40000153,53.74285889,0.76466095
0.78000000,70.19999695,55.54286194,0.76466113
0.80000000,72.00000000,57.34286118,0.76466095
0.82000000,73.80000305,59.14286041,0.76466119
0.84000000,75.59999847,60.94285965,0.76466131
0.86000000,77.40000153,62.74285889,0.76466119
0.88000000,79.19999695,64.54286194,0.76466137
0.90000000,81.00000000,66.34285736,0.76466107
0.92000000,82.80000305,68.14286041,0.76466143
0.94000000,84.59999847,69.94286346,0.76466137
0.96000000,86.40000153,71.74285889,0.76466119
0.98000000,88.20000458,73.54286194,0.76466149
1.00000000,90.00000000,75.34286499,0.76466149
1.02000000,91.80000305,77.14286041,0.76466101
1.04000000,93.59999847,78.94286346,0.76466131
1.06000000,95.40000153,80.74285889,0.76466101
1.08000000,97.19999695,82.54286194,0.76466137
1.10000000,99.00000000,84.34286499,0.76466101
1.12000000,100.80000305,86.14286041,0.76466113
1.14000000,102.59999847,87.94286346,0.76466131
1.16000000,104.40000153,89.74285889,0.76466107
1.18000000,106.19999695,91.54286194,0.76466131
1.20000000,108.00000000,93.34286499,0.76466113
1.22000000,109.80000305,95.14286041,0.76466119
1.24000000,111.59999847,96.94286346,0.76466143
1.26000000,113.40000153,98.74285889,0.76466119
1.28000000,115.19999695,100.54286194,0.76466149
1.30000000,117.00000000,102.34286499,0.76466119
1.32000000,118.80000305,104.14286041,0.76466137
1.34000000,120.59999847,105.94286346,0.76466149
1.36000000,122.40000153,107.74286652,0.76466137
1.38000000,124.19999695,109.54286194,0.76466137
1.40000000,126.00000000,111.34286499,0.76466101
1.42000000,127.79999542,113.14286041,0.76466119
1.44000000,129.60000610,114.94286346,0.76466107
1.46000000,131.39999390,116.74286652,0.76466149
1.48000000,133.19999695,118.54286194,0.76466084
1.50000000,135.00000000,120.34286499,0.76466119
1.52000000,136.80000305,122.14286041,0.76466119
1.54000000,138.60000610,123.94286346,0.76466143
1.56000000,140.39999390,125.74286652,0.76466149
1.58000000,142.19999695,127.54286194,0.76466066
1.60000000,144.00000000,129.34286499,0.76466137
1.62000000,145.80000305,131.14286804,0.76466125
1.64000000,147.60000610,132.94287109,0.76466131
1.66000000,149.40000916,134.74285889,0.76466143
1.68000000,151.19999695,136.54286194,0.76466185
1.70000000,153.00000000,138.34286499,0.76466137
1.72000000,154.80000305,140.14286804,0.76466143
1.74000000,156.60000610,141.94287109,0.76466143
1.76000000,158.39999390,143.74285889,0.76466143
1.78000000,160.19999695,145.54286194,0.76466137
1.80000000,162.00000000,147.34286499,0.76466155
1.82000000,163.80000305,149.14286804,0.76466155
1.84000000,165.59999084,150.94287109,0.76466167
1.86000000,167.39999390,152.74285889,0.76466089
1.88000000,169.19999695,154.54286194,0.76466155
1.90000000,171.00000000,156.34286499,0.76466155
1.92000000,172.80000305,158.14286804,0.76466167
1.94000000,174.60000610,159.94287109,0.76466167
1.96000000,176.39999390,161.74285889,0.76466113
1.98000000,178.19999695,163.54286194,0.76466113
2.00000000,180.00000000,165.34286499,0.76466113
2.02000000,178.19999695,167.14286804,0.76466113
2.04000000,176.39999390,168.94287109,0.62951702
2.06000000,174.60000610,170.48571777,0.51822048
2.08000000,172.80000305,171.77143860,0.39085996
2.10000000,171.00000000,172.67143250,0.27573171
2.12000000,169.19999695,173.18572998,-0.23022678
2.14000000,167.39999390,172.92857361,-0.32206333
2.16000000,165.60000610,172.54286194,-0.38801086
2.18000000,163.80000305,172.02857971,-0.44810075
2.20000000,162.00000000,171.38572693,-0.49956530
2.22000000,160.19999695,170.61428833,-0.54600257
2.24000000,158.39999390,169.71429443,-0.58691573
2.26000000,156.60000610,168.68572998,-0.62295091
2.28000000,154.80000305,167.52857971,-0.65401876
2.30000000,153.00000000,166.11428833,-0.68023515
2.32000000,151.19999695,164.70001221,-0.69747925
2.34000000,149.39999390,163.28572083,-0.71411371
2.36000000,147.60000610,161.87144470,-0.72913593
2.38000000,145.80000305,160.20001221,-0.74404824
2.40000000,144.00000000,158.52857971,-0.75046027
2.42000000,142.19999695,156.85714722,-0.75711387
2.44000000,140.39999390,155.18572998,-0.76224065
2.46000000,138.60000610,153.51429749,-0.76741123
2.48000000,136.80000305,151.71429443,-0.77230644
2.50000000,135.00000000,150.04286194,-0.77310473
2.52000000,133.19999695,148.24285889,-0.77808964
2.54000000,131.39999390,146.44287109,-0.77810228
2.56000000,129.60000610,144.64286804,-0.77899837
2.58000000,127.80000305,142.84286499,-0.77900004
2.60000000,126.00000000,141.04286194,-0.77916104
2.62000000,124.19999695,139.37142944,-0.77916151
2.64000000,122.40000153,137.57144165,-0.78329587
2.66000000,120.59999847,135.77143860,-0.78316551
2.68000000,118.80000305,133.97143555,-0.78390831
2.70000000,117.00000000,132.17143250,-0.78388453
2.72000000,115.19999695,130.37142944,-0.78401810
2.74000000,113.40000153,128.57144165,-0.78401333
2.76000000,111.59999847,126.77143860,-0.78403753
2.78000000,109.80000305,124.97143555,-0.78403676
2.80000000,108.00000000,123.17143250,-0.78404117
2.82000000,106.19999695,121.37143707,-0.78404099
2.84000000,104.40000153,119.57143402,-0.78404206
2.86000000,102.59999847,117.77143860,-0.78404176
2.88000000,100.80000305,115.97143555,-0.78404224
2.90000000,99.00000000,114.17143250,-0.78404194
2.92000000,97.19999695,112.37143707,-0.78404206
2.94000000,95.40000153,110.57143402,-0.78404206
2.96000000,93.59999847,108.77143097,-0.78404176
2.98000000,91.79999542,106.97143555,-0.78404188
3.00000000,90.00000000,105.17143250,-0.78404206
3.02000000,88.19999695,103.37143707,-0.78404182
3.04000000,86.40000153,101.57143402,-0.78404212
3.06000000,84.59999847,99.77143097,-0.78404182
3.08000000,82.80000305,97.97143555,-0.78404194
3.10000000,81.00000000,96.17143250,-0.78404194
3.12000000,79.19999695,94.37143707,-0.78404200
3.14000000,77.40000153,92.57143402,-0.78404218
3.16000000,75.59999847,90.77143097,-0.78404194
3.18000000,73.80000305,88.97143555,-0.78404200
3.20000000,72.00000000,87.17143250,-0.78404200
3.22000000,70.19999695,85.37143707,-0.78404212
3.24000000,68.40000153,83.57143402,-0.78404230
3.26000000,66.59999847,81.77143097,-0.78404206
3.28000000,64.80000305,79.97143555,-0.78404218
3.30000000,63.00000000,78.17143250,-0.78404206
3.32000000,61.20000076,76.37142944,-0.78404200
3.34000000,59.40000153,74.57143402,-0.78404176
3.36000000,57.59999847,72.77143097,-0.78404188
3.38000000,55.79999924,70.97143555,-0.78404188
3.40000000,54.00000000,69.17143250,-0.78404200
3.42000000,52.20000076,67.37142944,-0.78404194
3.44000000,50.40000153,65.57143402,-0.78404188
3.46000000,48.59999847,63.77143097,-0.78404200
3.48000000,46.79999924,61.97143173,-0.78404200
3.50000000,45.00000000,60.17143250,-0.78404206
3.52000000,43.20000076,58.37143326,-0.78404206
3.54000000,41.39999771,56.57143021,-0.78404206
3.56000000,39.59999847,54.77143097,-0.78404212
3.58000000,37.80000305,52.97143173,-0.78404212
3.60000000,35.99999619,51.17143250,-0.78404188
3.62000000,34.20000076,49.37142944,-0.78404218
3.64000000,32.40000153,47.57143021,-0.78404188
3.66000000,30.59999847,45.77143097,-0.78404200
3.68000000,28.79999924,43.97143173,-0.78404206
3.70000000,27.00000191,42.17143250,-0.78404212
3.72000000,25.19999695,40.37142944,-0.78404206
3.74000000,23.39999962,38.57143021,-0.78404218
3.76000000,21.60000038,36.77143097,-0.78404206
3.78000000,19.80000305,34.97143173,-0.78404200
3.80000000,17.99999809,33.17142868,-0.78404194
3.82000000,16.20000076,31.37142944,-0.78404206
3.84000000,14.40000248,29.57143021,-0.78404200
3.86000000,12.59999847,27.77143097,-0.78404200
3.88000000,10.80000019,25.97142982,-0.78404218
3.90000000,9.00000191,24.17143059,-0.78404206
3.92000000,7.19999838,22.37142944,-0.78404200
3.94000000,5.40000010,20.57143021,-0.78404212
3.96000000,3.60000181,18.77142906,-0.78404206
3.98000000,1.79999828,16.97142982,-0.78404200
4.00000000,0.00000000,15.17142963,-0.78404218
